id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags
7385,Bukit Tempinis,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Bukit Tempinis,,,True,0.0,Free,,1.4673625,104.0824215,,OSM,Bukit Tempinis,Bukit Tempinis,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7386,Bukit Tengkil,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Tengkil,,,True,0.0,Free,,1.8888235,103.7480592,,OSM,Bukit Tengkil,Bukit Tengkil,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7387,Bukit Timah,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Timah,,,True,0.0,Free,,2.2056363,102.8242206,,OSM,Bukit Timah,Bukit Timah,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7388,Bukit Tinggi,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Tinggi,,,True,0.0,Free,,2.2832896,103.6665929,,OSM,Bukit Tinggi,Bukit Tinggi,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7389,Bukit Tioman Darat,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Boat,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Tioman Darat,,,True,0.0,Free,,2.5934752,103.7820267,,OSM,Bukit Tioman Darat,Bukit Tioman Darat,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7390,Cattle Queen Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Cattle Queen Park,,,True,0.0,Free,,2.1357094,103.4487609,,OSM,Cattle Queen Park,Cattle Queen Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7391,Community Garden Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Community Garden Park,,,True,0.0,Free,,1.5676982,103.8070685,,OSM,Community Garden Park,Community Garden Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7392,Cove Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Cove Park,,,True,0.0,Free,,1.4827579,103.8446852,,OSM,Cove Park,Cove Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7393,Bukit Twiss,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Twiss,,,True,0.0,Free,,2.2203185,103.9128971,,OSM,Bukit Twiss,Bukit Twiss,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7394,Bukit Ulu Choh,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Ulu Choh,,,True,0.0,Free,,1.583709,103.548918,,OSM,Bukit Ulu Choh,Bukit Ulu Choh,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7395,Bukit Wah Wah,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Wah Wah,,,True,0.0,Free,,2.2011175,103.8251406,,OSM,Bukit Wah Wah,Bukit Wah Wah,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7396,Bukit Waju,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Waju,,,True,0.0,Free,,1.3808089,104.2591618,,OSM,Bukit Waju,Bukit Waju,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7397,Dataran Bendera,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Family,Car/Self-Drive,Budget Hotel,City & Urban,Sightseeing & Tours,attraction,4.3,0.0,Free,Dataran Bendera,,,True,0.0,Free,,1.9842729,102.6793518,,OSM,Dataran Bendera,Dataran Bendera,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
7398,Dataran Bendera Bukit Mor,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.5,0.0,Free,Dataran Bendera Bukit Mor,,,True,0.0,Free,,1.978645,102.6759213,,OSM,Dataran Bendera Bukit Mor,Dataran Bendera Bukit Mor,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
7399,Dataran Bukit Pasir,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Group of Friends,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Dataran Bukit Pasir,,,True,0.0,Free,,2.0991664,102.6384351,,OSM,Dataran Bukit Pasir,Dataran Bukit Pasir,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7400,Dataran Bukti Bakri,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Homestay,City & Urban,Nature & Outdoors,attraction,4.2,0.0,Free,Dataran Bukti Bakri,,,True,0.0,Free,,2.0402502,102.6599107,,OSM,Dataran Bukti Bakri,Dataran Bukti Bakri,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,
7401,Dataran Cahaya Kulai,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Tour Bus,Hostel,City & Urban,Nature & Outdoors,attraction,4.2,0.0,Free,Dataran Cahaya Kulai,,,True,0.0,Free,,1.6548333,103.607474,,OSM,Dataran Cahaya Kulai,Dataran Cahaya Kulai,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,
7402,Caranday Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Caranday Park,,,True,0.0,Free,,1.5383406,103.730481,,OSM,Caranday Park,Caranday Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7403,Caryota Square,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Family,Car/Self-Drive,Hostel,City & Urban,Sightseeing & Tours,attraction,4.4,0.0,Free,Caryota Square,,,True,0.0,Free,,1.5441704,103.729032,,OSM,Caryota Square,Caryota Square,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7404,Dataran Labis,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Car/Self-Drive,Homestay,City & Urban,Nature & Outdoors,attraction,4.2,0.0,Free,Dataran Labis,,,True,0.0,Free,,2.3878384,103.0203166,,OSM,Dataran Labis,Dataran Labis,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,
7405,Dataran Ledang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Homestay,City & Urban,Nature & Outdoors,attraction,4.4,0.0,Free,Dataran Ledang,,,True,0.0,Free,,2.2678504,102.5380822,,OSM,Dataran Ledang,Dataran Ledang,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,
7406,Dataran Penggaram Batu Pahat,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Group of Friends,Tour Bus,Budget Hotel,City & Urban,Nature & Outdoors,attraction,4.3,0.0,Free,Dataran Penggaram Batu Pahat,,,True,0.0,Free,,1.8467784,102.9345202,,OSM,Dataran Penggaram Batu Pahat,Dataran Penggaram Batu Pahat,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,
7407,Dataran Segamat,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Homestay,City & Urban,Nature & Outdoors,attraction,4.1,0.0,Free,Dataran Segamat,,,True,0.0,Free,,2.5110549,102.814743,,OSM,Dataran Segamat,Dataran Segamat,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,
7408,Dataran Siswazah,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Group of Friends,Car/Self-Drive,Hostel,City & Urban,Sightseeing & Tours,attraction,4.5,0.0,Free,Dataran Siswazah,,,True,0.0,Free,,1.85324,103.0873723,,OSM,Dataran Siswazah,Dataran Siswazah,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
7409,Danga Bay Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Danga Bay Park,,,True,0.0,Free,,1.4780315,103.7231137,,OSM,Danga Bay Park,Danga Bay Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7410,Dataran Air Papan Mersing,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Couple,Car/Self-Drive,Hostel,City & Urban,Sightseeing & Tours,attraction,4.5,0.0,Free,Dataran Air Papan Mersing,,,True,0.0,Free,,2.5164997,103.8344194,,OSM,Dataran Air Papan Mersing,Dataran Air Papan Mersing,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
7411,Bukit Seligi,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Seligi,,,True,0.0,Free,,2.30365,103.3024102,,OSM,Bukit Seligi,Bukit Seligi,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7412,Bukit Semeninjau,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Bukit Semeninjau,,,True,0.0,Free,,2.5375463,103.1964271,,OSM,Bukit Semeninjau,Bukit Semeninjau,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7413,Bukit Permatang Serai,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Permatang Serai,,,True,0.0,Free,,2.3527815,103.2066617,,OSM,Bukit Permatang Serai,Bukit Permatang Serai,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7414,Bukit Peta,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Peta,,,True,0.0,Free,,2.5578379,103.4156638,,OSM,Bukit Peta,Bukit Peta,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7415,Bukit Petai,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Petai,,,True,0.0,Free,,2.061007,104.0097144,,OSM,Bukit Petai,Bukit Petai,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7416,Bukit Rambut,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Rambut,,,True,0.0,Free,,2.4307788,103.2873952,,OSM,Bukit Rambut,Bukit Rambut,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7417,Bukit Reban Kambing,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Bukit Reban Kambing,,,True,0.0,Free,,2.3347852,102.5414729,,OSM,Bukit Reban Kambing,Bukit Reban Kambing,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7418,Bukit Renchir,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Renchir,,,True,0.0,Free,,2.6209019,102.8136957,,OSM,Bukit Renchir,Bukit Renchir,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7419,Bukit Simpah,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Simpah,,,True,0.0,Free,,1.9936111,102.905,,OSM,Bukit Simpah,Bukit Simpah,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7420,Bukit Sinding,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Sinding,,,True,0.0,Free,,1.7907851,102.9023157,,OSM,Bukit Sinding,Bukit Sinding,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7421,Bukit Salah,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Salah,,,True,0.0,Free,,2.1895229,103.7383602,,OSM,Bukit Salah,Bukit Salah,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7422,Bukit Santi,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Santi,,,True,0.0,Free,,1.4021263,104.1196743,,OSM,Bukit Santi,Bukit Santi,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7423,Bukit Satu,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Satu,,,True,0.0,Free,,1.6611067,104.0958514,,OSM,Bukit Satu,Bukit Satu,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7424,Bukit Segenting,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Segenting,,,True,0.0,Free,,1.7911298,102.8891828,,OSM,Bukit Segenting,Bukit Segenting,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7425,Bukit Selantai,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Selantai,,,True,0.0,Free,,2.5106283,103.8395089,,OSM,Bukit Selantai,Bukit Selantai,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7426,Bukit Selieh Seliseh,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Selieh Seliseh,,,True,0.0,Free,,2.1792155,103.4374115,,OSM,Bukit Selieh / Seliseh,Bukit Selieh / Seliseh,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,name_normalized
7427,Bukit Tanjung Kupang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Tanjung Kupang,,,True,0.0,Free,,1.3765088,103.6081142,,OSM,Bukit Tanjung Kupang,Bukit Tanjung Kupang,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7428,Bukit Tasek,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Tasek,,,True,0.0,Free,,2.0289139,102.8639551,,OSM,Bukit Tasek,Bukit Tasek,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7429,Bukit Sengkang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Sengkang,,,True,0.0,Free,,2.4372424,102.6641545,,OSM,Bukit Sengkang,Bukit Sengkang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7430,Bukit Sengongong,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Sengongong,,,True,0.0,Free,,2.508169,103.3218723,,OSM,Bukit Sengongong,Bukit Sengongong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7431,Bukit Sepang Loi,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Sepang Loi,,,True,0.0,Free,,2.644451,102.7858479,,OSM,Bukit Sepang Loi,Bukit Sepang Loi,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7432,Bukit Serigi,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Group of Friends,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Serigi,,,True,0.0,Free,,2.476431,103.2296634,,OSM,Bukit Serigi,Bukit Serigi,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7433,Bukit Setambun Tulang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Setambun Tulang,,,True,0.0,Free,,2.1405777,102.7845456,,OSM,Bukit Setambun Tulang,Bukit Setambun Tulang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7434,Bukit Simbang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Simbang,,,True,0.0,Free,,2.1557191,103.5545995,,OSM,Bukit Simbang,Bukit Simbang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7435,Bukit Tukau,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Tukau,,,True,0.0,Free,,2.3233148,102.5425887,,OSM,Bukit Tukau,Bukit Tukau,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7436,Bukit Tulang Kijang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Tulang Kijang,,,True,0.0,Free,,2.4954997,103.2019293,,OSM,Bukit Tulang Kijang,Bukit Tulang Kijang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7437,Bukit Sisek,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Sisek,,,True,0.0,Free,,1.812081,103.8190653,,OSM,Bukit Sisek,Bukit Sisek,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7438,Bukit Soga,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Group of Friends,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Soga,,,True,0.0,Free,,1.8552306,102.9574862,,OSM,Bukit Soga,Bukit Soga,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7439,Bukit Tahang Rimau,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Tahang Rimau,,,True,0.0,Free,,2.439204,103.070308,,OSM,Bukit Tahang Rimau,Bukit Tahang Rimau,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7440,Bukit Tajam,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Tajam,,,True,0.0,Free,,1.444433,103.6872199,,OSM,Bukit Tajam,Bukit Tajam,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7441,Bukit Tanah Abang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Tanah Abang,,,True,0.0,Free,,2.4638685,103.6388612,,OSM,Bukit Tanah Abang,Bukit Tanah Abang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
